platform,username,text,rating,timestamp,scraped_at,nhan,noi_dung_da_loc
TikTok,(không xác định),Xưa t học hoá cũng ok mà giờ t nghe như vịt nghe sấm,,,2026-06-26 22:15:56,tich_cuc,xưa học hóa ok giờ nghe vịt nghe sấm
TikTok,(không xác định),Lê Công Hữu ❤️❤️,,,2026-06-26 22:15:56,trung_tinh,lê công_hữu
TikTok,(không xác định),"Mấy bạn ơi , mấy bạn nhớ ngủ trước 11h và ngủ đủ 8 tiếng nha , buổi trưa phải ngủ 15-30p nha , ăn uống đừng quá cay hoặc quá ngọt quá hay chua nha , không được bỏ bữa nhất là bữa sáng , tập thể dục 10p-20p mỗi ngày , không nên tắm khuya và uống ít nhất 1,5 lít nước 1 ngày , và nhớ đi xe cẩn thận nhé..!!",,,2026-06-26 22:15:56,tich_cuc,mấy mấy nhớ ngủ 11 h ngủ đủ 8 tiếng nha buổi trưa ngủ 15 30 p_nha ăn_uống đừng cay chua_nha không được bỏ bữa bữa sáng tập_thể_dục 10 p 20 p không tắm khuya uống ít_nhất 1 5 lít nước 1 nhớ xe cẩn_thận
TikTok,(không xác định),Làm sao họ biết nguyên tố đó có tồn tại trong khi k thể tìm thấy nó ngoài tự nhiên hay vậy ta🤔,,,2026-06-26 22:15:56,tieu_cuc,làm_sao nguyên_tố tồn_tại không_thể tìm tự_nhiên ta
TikTok,(không xác định),làm thế nào để giữ được nó. đã tạo ra đã tồn tại phải giữ chứ 😅😅😅😅,,,2026-06-26 22:15:56,trung_tinh,thế_nào giữ được tạo tồn_tại giữ
TikTok,(không xác định),ko hiểu sao hồi đấy nhớ hết cái bảng này,,,2026-06-26 22:15:56,trung_tinh,không hiểu hồi đấy nhớ hết bảng
TikTok,(không xác định),Flimis x Zip out meta,,,2026-06-26 22:15:56,trung_tinh,flimis x zip out meta
TikTok,(không xác định),Ngto nghe lạ thật :)),,,2026-06-26 22:15:56,tich_cuc,nguyên_tố nghe lạ thật
TikTok,(không xác định),video bác tự làm bằng AI hả,,,2026-06-26 22:15:56,tieu_cuc,video tự hả
TikTok,(không xác định),dùng nhạc Du Sơn Luyến đi bn,,,2026-06-26 22:15:56,trung_tinh,dùng nhạc du_sơn luyến
TikTok,(không xác định),mặc dù dốt hoá nhưng nghệ hay và cuốn vãi😳😳,,,2026-06-26 22:15:56,tieu_cuc,mặc_dù dốt_hóa nghệ vãi
TikTok,(không xác định),nể ai pháp minh ra mấy cái bảng tuần hoàn này nx còn tao xem mà chết não mất 😭,,,2026-06-26 22:15:56,tieu_cuc,nể pháp_minh mấy bảng tuần_hoàn nx tao xem chết não mất
TikTok,(không xác định),"8,2 điểm hoá 😎",,,2026-06-26 22:15:56,trung_tinh,8 2 điểm hóa
TikTok,(không xác định),tiếp theo là Ts đi shop,,,2026-06-26 22:15:56,trung_tinh,tiếp_theo ts shop
TikTok,(không xác định),hè r tik còn k tha😔,,,2026-06-26 22:15:56,trung_tinh,hè tik không tha
TikTok,(không xác định),Chess Is My Life,,,2026-06-26 22:15:56,trung_tinh,chess is my life
TikTok,(không xác định),tên nhạc ????,,,2026-06-26 22:15:56,trung_tinh,tên nhạc
TikTok,(không xác định),6 ngày trước,,,2026-06-26 22:15:56,trung_tinh,6
TikTok,(không xác định),Kiều lương tâm,,,2026-06-26 22:15:56,trung_tinh,kiều lương_tâm
TikTok,(không xác định),1 giờ trước,,,2026-06-26 22:15:56,trung_tinh,1 giờ
TikTok,(không xác định),Họ Vũ Tên Lực,,,2026-06-26 22:15:56,trung_tinh,vũ tên_lực
TikTok,(không xác định),"quằn què, nhạc đ gì to hơn thuyết minh. bộ làm về khoa học hay bay lắc thế ad",,,2026-06-26 22:15:56,tieu_cuc,quằn què nhạc đ to thuyết_minh_bộ khoa_học bay lắc admin
TikTok,(không xác định),Đỗ Hoàng Phi,,,2026-06-26 22:15:56,trung_tinh,đỗ hoàng_phi
TikTok,(không xác định),Chắc có mình t là nhìn tưởng đang chọn ghế ngồi khi mua vé xem phim 😳,,,2026-06-26 22:15:56,trung_tinh,nhìn tưởng chọn ghế_ngồi mua vé xem phim
TikTok,(không xác định),"shop ơi nhỏ nhạc lại xíu được ko ạ, nhạc to quá không tập trung được🥲",,,2026-06-26 22:15:56,tieu_cuc,shop nhỏ_nhạc xíu được không ạ_nhạc to không tập_trung được
TikTok,(không xác định),"m oi m oi ý là nghỉ hè r á má tha t , đúng là mình tha hoá nhung hóa k tha mình",,,2026-06-26 22:15:56,trung_tinh,mày oi_mày oi_ý nghỉ_hè á_má tha đúng tha_hóa nhung hóa không tha
TikTok,(không xác định),"trước học vật lý, hóa học cao cấp không hiểu để làm qq gì nhưng giờ tìm hiểu vũ trụ, lượng tử cuốn thật 😂 giá mà vỡ ra thì chắc sẽ học mấy môn qq kia tốt hơn 😂",,,2026-06-26 22:15:56,tieu_cuc,học vật_lý hóa_học cao_cấp không hiểu qq giờ tìm_hiểu vũ_trụ_lượng tử_cuốn thật giá_mà vỡ học mấy môn qq kia tốt
TikTok,(không xác định),Thế mới thấy những nhà nghiên cứu giỏi cỡ nào❤️,,,2026-06-26 22:15:56,tich_cuc,nhà_nghiên_cứu giỏi cỡ
TikTok,(không xác định),tôi quá ngu để hiểu,,,2026-06-26 22:15:56,tieu_cuc,ngu hiểu
TikTok,(không xác định),thế phát điện vào electron của OG thì nó có thể hút nhau đc ko shop hoặc nếu cho các electron như hình sole sếp với nhau để cho lõi nó thấy vì hình tròn thì nó lại kéo dài thì có thể kéo dài đc thời gian sinh ra của nó ko??( hỏi thí thôi),,,2026-06-26 22:15:56,tieu_cuc,phát_điện electron og có_thể hút được không shop electron hình sole_sếp lõi hình_tròn kéo_dài có_thể kéo_dài được thời_gian sinh không thí
TikTok,(không xác định),người 🇺🇸 gốc 🇻🇳,,,2026-06-26 22:15:56,trung_tinh,gốc
TikTok,(không xác định),Oganesson được tổng hợp bằng phản ứng hạt nhân giữa californium‑249 và canxi‑48 đko ạ,,,2026-06-26 22:15:56,trung_tinh,oganesson được tổng_hợp phản_ứng hạt_nhân californium 249 canxi 48 đko
TikTok,(không xác định),Rồi nó nặng bnh bây,,,2026-06-26 22:15:56,trung_tinh,nặng bao_nhiêu bây
TikTok,(không xác định),Học ngu hoá nhưng xem hết video và những gì đọng lại là nhạc hay và biết đến Og😂,,,2026-06-26 22:15:56,tieu_cuc,học ngu hóa xem hết video đọng nhạc og
TikTok,(không xác định),2 ngày trước,,,2026-06-26 22:15:56,trung_tinh,2
TikTok,(không xác định),phụ đề khó nhìn quá ad ơi đổi đi,,,2026-06-26 22:15:56,tieu_cuc,phụ đề_khó nhìn admin đổi
TikTok,(không xác định),4 ngày trước,,,2026-06-26 22:15:56,trung_tinh,4
TikTok,(không xác định),"Cho em hỏi là tại sao những cái như Lv và Ts, cách có mỗi 1- 2 proton so với Og thôi mà, tại sao vẫn có thể tồn tại ạ?",,,2026-06-26 22:15:56,tieu_cuc,tại_sao lv ts cách 1 2 proton og tại_sao có_thể tồn_tại
TikTok,(không xác định),Nguyen Viet Hai,,,2026-06-26 22:15:56,tieu_cuc,nguyen viet hai
TikTok,(không xác định),mất gốc hóa xem như kiểu hc bá,,,2026-06-26 22:15:56,tieu_cuc,mất gốc hóa xem kiểu học_bá
TikTok,(không xác định),hay thí nhưng nhạc to quá ní,,,2026-06-26 22:15:56,tieu_cuc,thí nhạc to
TikTok,(không xác định),ʕkhó vẽ cuộc sống,,,2026-06-26 22:15:56,trung_tinh,ʕkhó vẽ cuộc_sống
TikTok,(không xác định),9.25₫ hoá ngồi xem còn khó hiểu,,,2026-06-26 22:15:56,tieu_cuc,9 25 hóa ngồi xem khó hiểu
TikTok,(không xác định),Ủa để nhạc cỡ này vừa mà lại còn hay🥰🥰,,,2026-06-26 22:15:56,tich_cuc,nhạc cỡ mà_lại
TikTok,(không xác định),^^ Anh Anh là lốp xe tăng,,,2026-06-26 22:15:56,trung_tinh,lốp xe_tăng
TikTok,(không xác định),ad ơi nhạc nền là j v,,,2026-06-26 22:15:56,trung_tinh,admin nhạc
TikTok,(không xác định),ai giống t không. công nhận nhạc nó lớn thật nhma kh hiểu bằng cách nào mà tai t lại lọc ra làm hai và cái nhạc nó lại nhỏ hơn lý thuyết,,,2026-06-26 22:15:56,tieu_cuc,giống không công_nhận nhạc thật nhưng_mà không hiểu cách tai lọc hai nhạc nhỏ lý_thuyết
TikTok,(không xác định),Có thể là con người đã tạo ra nguyên tố có số proton nhiều hơn 118 mà nó xuất hiện quá ngắn nên ko đc phát hiện ko nhỉ🤔,,,2026-06-26 22:15:56,tieu_cuc,có_thể con_người tạo nguyên_tố proton 118 xuất_hiện ngắn không được phát_hiện không
TikTok,(không xác định),nếu n tồn tại đc lâu hơn và kết hợp vs nguyên tố nặng bằng n thì sẽ nnao?🗿,,,2026-06-26 22:15:56,tieu_cuc,tồn_tại được lâu kết_hợp nguyên_tố nặng nnao
TikTok,(không xác định),t chuyên hóa nè Oganesson (Og) nó rất không bền và tồn tại trong thời gian cực ngắn,,,2026-06-26 22:15:56,trung_tinh,chuyên_hóa nè oganesson og không bền tồn_tại thời_gian cực ngắn
TikTok,(không xác định),Nhiều nguyên tố mới được phát hiện nhưng họ k công bố thôi,,,2026-06-26 22:15:56,tieu_cuc,nguyên_tố được phát_hiện không công_bố
