platform,username,text,rating,timestamp,scraped_at,nhan
TikTok,(không xác định),ko hc hoá vẫn ngồi nghe,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),cái lốp nhỏ...,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),nghỉ hè xong sẽ học😑,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),r sao tìm ra ảo vậy 😅,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),"Trl câu hỏi"" quy tắc hoá trị lgi""🥰🥰",,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),5đ hoá đang ngồi nghe chăm chú 🥰,,,2026-06-26 22:15:56,tich_cuc
TikTok,(không xác định),nóng ôm máy lạnh,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),t chỉ để ý nguyên tố của đồng thôi 😂😂😂😂,,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),nhìn j mà nhìn?,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),"4,5 hoá ngồi xem cho có",,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),lần sau đăng nhạc du sơn luyến ấy,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),t ko hiểu tại sao mấy ông đó tìm ra đc ntố Oganesson???,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),thế có thế nén 119p ko ? cta sẽ có 1 ngto mới?,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),thế nào t lại thích học hoá😁😁,,,2026-06-26 22:15:56,tich_cuc
TikTok,(không xác định),Cho hỏi chút ạ. KHTN học xong sau này nên chọn làm ngành gì ạ?,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),nguyên tố 118 là tương lai của thế giới khi có thế áp dụng phản trọng lực cho xe phương tiện và thậm chí chế tạo ra đĩa bay,,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),T ngu hóa nên T ko hiểu gì cả,,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),"tui thắc mắc: sao họ khong tăng số neutron của cả calcium và californium trước khi gia tốc để làm giảm sự đẩy nhau của proton (vì neutron không mang điện), tăng sự ổn định và tồn tại lâu hơn của nguyên tử 118 tạo thành ạ?",,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),cá chép hóa rồng ˇ,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),ai đó giúp t học cách dùng bảng tuần hoàn vs (•_•),,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),Xưa t học hoá cũng ok mà giờ t nghe như vịt nghe sấm,,,2026-06-26 22:15:56,tich_cuc
TikTok,(không xác định),Lê Công Hữu ❤️❤️,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),"Mấy bạn ơi , mấy bạn nhớ ngủ trước 11h và ngủ đủ 8 tiếng nha , buổi trưa phải ngủ 15-30p nha , ăn uống đừng quá cay hoặc quá ngọt quá hay chua nha , không được bỏ bữa nhất là bữa sáng , tập thể dục 10p-20p mỗi ngày , không nên tắm khuya và uống ít nhất 1,5 lít nước 1 ngày , và nhớ đi xe cẩn thận nhé..!!",,,2026-06-26 22:15:56,tich_cuc
TikTok,(không xác định),Làm sao họ biết nguyên tố đó có tồn tại trong khi k thể tìm thấy nó ngoài tự nhiên hay vậy ta🤔,,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),làm thế nào để giữ được nó. đã tạo ra đã tồn tại phải giữ chứ 😅😅😅😅,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),ko hiểu sao hồi đấy nhớ hết cái bảng này,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),Flimis x Zip out meta,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),Ngto nghe lạ thật :)),,,2026-06-26 22:15:56,tich_cuc
TikTok,(không xác định),video bác tự làm bằng AI hả,,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),dùng nhạc Du Sơn Luyến đi bn,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),mặc dù dốt hoá nhưng nghệ hay và cuốn vãi😳😳,,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),nể ai pháp minh ra mấy cái bảng tuần hoàn này nx còn tao xem mà chết não mất 😭,,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),"8,2 điểm hoá 😎",,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),tiếp theo là Ts đi shop,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),hè r tik còn k tha😔,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),Chess Is My Life,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),tên nhạc ????,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),6 ngày trước,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),Kiều lương tâm,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),1 giờ trước,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),Họ Vũ Tên Lực,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),"quằn què, nhạc đ gì to hơn thuyết minh. bộ làm về khoa học hay bay lắc thế ad",,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),Đỗ Hoàng Phi,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),Chắc có mình t là nhìn tưởng đang chọn ghế ngồi khi mua vé xem phim 😳,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),"shop ơi nhỏ nhạc lại xíu được ko ạ, nhạc to quá không tập trung được🥲",,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),"m oi m oi ý là nghỉ hè r á má tha t , đúng là mình tha hoá nhung hóa k tha mình",,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),"trước học vật lý, hóa học cao cấp không hiểu để làm qq gì nhưng giờ tìm hiểu vũ trụ, lượng tử cuốn thật 😂 giá mà vỡ ra thì chắc sẽ học mấy môn qq kia tốt hơn 😂",,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),Thế mới thấy những nhà nghiên cứu giỏi cỡ nào❤️,,,2026-06-26 22:15:56,tich_cuc
TikTok,(không xác định),tôi quá ngu để hiểu,,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),thế phát điện vào electron của OG thì nó có thể hút nhau đc ko shop hoặc nếu cho các electron như hình sole sếp với nhau để cho lõi nó thấy vì hình tròn thì nó lại kéo dài thì có thể kéo dài đc thời gian sinh ra của nó ko??( hỏi thí thôi),,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),người 🇺🇸 gốc 🇻🇳,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),Oganesson được tổng hợp bằng phản ứng hạt nhân giữa californium‑249 và canxi‑48 đko ạ,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),Rồi nó nặng bnh bây,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),Học ngu hoá nhưng xem hết video và những gì đọng lại là nhạc hay và biết đến Og😂,,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),2 ngày trước,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),phụ đề khó nhìn quá ad ơi đổi đi,,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),4 ngày trước,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),"Cho em hỏi là tại sao những cái như Lv và Ts, cách có mỗi 1- 2 proton so với Og thôi mà, tại sao vẫn có thể tồn tại ạ?",,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),Nguyen Viet Hai,,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),mất gốc hóa xem như kiểu hc bá,,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),hay thí nhưng nhạc to quá ní,,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),ʕkhó vẽ cuộc sống,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),9.25₫ hoá ngồi xem còn khó hiểu,,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),Ủa để nhạc cỡ này vừa mà lại còn hay🥰🥰,,,2026-06-26 22:15:56,tich_cuc
TikTok,(không xác định),^^ Anh Anh là lốp xe tăng,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),ad ơi nhạc nền là j v,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),ai giống t không. công nhận nhạc nó lớn thật nhma kh hiểu bằng cách nào mà tai t lại lọc ra làm hai và cái nhạc nó lại nhỏ hơn lý thuyết,,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),Có thể là con người đã tạo ra nguyên tố có số proton nhiều hơn 118 mà nó xuất hiện quá ngắn nên ko đc phát hiện ko nhỉ🤔,,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),nếu n tồn tại đc lâu hơn và kết hợp vs nguyên tố nặng bằng n thì sẽ nnao?🗿,,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),t chuyên hóa nè Oganesson (Og) nó rất không bền và tồn tại trong thời gian cực ngắn,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),Nhiều nguyên tố mới được phát hiện nhưng họ k công bố thôi,,,2026-06-26 22:15:56,tieu_cuc
